"","CBCD","n_mixture","lambda_1","alpha_1","beta_1","lambda_2","alpha_2","beta_2","lambda_3","alpha_3","beta_3","lambda_4","alpha_4","beta_4","lambda_5","alpha_5","beta_5","lambda_6","alpha_6","beta_6","lambda_7","alpha_7","beta_7","lambda_8","alpha_8","beta_8","lambda_9","alpha_9","beta_9","lambda_10","alpha_10","beta_10","lambda_11","alpha_11","beta_11","lambda_12","alpha_12","beta_12","lambda_13","alpha_13","beta_13","lambda_14","alpha_14","beta_14","lambda_15","alpha_15","beta_15","lambda_16","alpha_16","beta_16","lambda_17","alpha_17","beta_17","lambda_18","alpha_18","beta_18","lambda_19","alpha_19","beta_19","lambda_20","alpha_20","beta_20"
"11",317,19,0.0263112246170044,17.6991151918719,0.0999814574994115,0.0568323034000941,14.8867829790183,0.196090186234187,0.0344206788853259,89.6561010945491,0.0514089607718532,0.0474412065261808,72.2034477163302,0.0806431791954258,0.109049066497552,104.870310529497,0.072563170489343,0.0762533131096002,83.2620825081688,0.133857773163648,0.0452139322750186,1131.90406128081,0.0121782445980236,0.0952059667070785,74.7158467057064,0.225564460547446,0.0413371033113742,1975.92092778075,0.0106919983046107,0.0304675944355608,1156.82050808566,0.0200187393579465,0.014758703784868,3063.83522480024,0.00823704228420212,0.0811711230470548,636.164915818457,0.0442685758765971,0.0274193102928358,903.019483210218,0.0361742414017383,0.0308897428837033,48458.0721760195,0.000721627024435275,0.0839653353910595,101.765526033251,0.407996587135788,0.0465276130542996,268.200912771868,0.204910664063958,0.0637949527744565,68.9953595804575,1.0682297074685,0.00678354892149058,20077711.1994242,4.53319617956821e-06,0.0821572800854428,3.37004599277697,47.6671645038273,NA,NA,NA
"12",307,11,0.0368417098678702,17.1651358801111,0.102657848713674,0.123687804176917,13.8391052355209,0.262359525174512,0.10038999006231,91.2651240698729,0.0700463032072491,0.10541890087978,63.9034933298349,0.132080002569715,0.0291763258665688,542.050524802145,0.0203033862370407,0.0923004234292536,262.817639253314,0.0502848498899518,0.153937724206298,51.7646392838487,0.358181315984263,0.071882177106714,207.378998079041,0.127725869965754,0.178567821178815,23.9547856100996,1.70623740355684,0.0735374290322719,40.4060592993922,1.92803637814521,0.034259694193202,5.82117265915491,27.621476945621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13",401,15,0.0733376455629556,12.8687524199385,14691.776706871,0.0313887679651908,56.0974456815792,5014.32651118511,0.0994038141725421,47.0241282838531,8906.74910862458,0.0857430985157024,309.637744157756,1901.66457561304,0.0637742034110435,164.391075735439,4392.19882208026,0.139956801039318,67.8985703243773,15722.7721423277,0.0295704713973415,711.101398502672,1861.30678770367,0.102260626400406,131.793030951287,12817.4927310124,0.118851593018945,82.1814373299819,29227.1338502883,0.12403699684019,40.3980536845951,92828.210169124,0.00334818884721909,7902321.03559912,0.623034088647616,0.00369211933863987,2190.35777681446,2313.6384629228,0.0998356382948512,20.9374404944587,354979.318495892,0.0135861828287174,87.8693091757383,152493.337391869,0.0112138523669389,13.6423587555743,1609287.44843029,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",107,20,0.039159567653117,21.8968563134597,0.0828988569404169,0.0131376374693999,80.0333333333331,0.036014405762305,0.0586748363512463,27.2876941981669,0.140414305629041,0.0557088432527864,147.107974334641,0.0385728791054159,0.0973495986081653,137.10176646112,0.0527832829307526,0.0878963067265956,75.8776679376143,0.1388996769156,0.0462511217687084,737.253529827669,0.0182486403854725,0.0769952042309918,177.741463720399,0.0858092038861524,0.110334186008081,143.61274517657,0.144959892016664,0.00663760943313799,7218733.39148879,3.46290764069738e-06,0.0635074084320231,761.002902434054,0.0357751336328895,0.02175144766588,2224.60877832059,0.0131930756114063,0.0225164058557943,1335.68761701614,0.0238850237110081,0.0730255010483286,218.900409475553,0.168933668106898,0.0148436390945063,7462.44258086566,0.00567465856743354,0.0847525570349019,77.1880984986215,0.692680583150352,0.0419981418383735,129.780904673784,0.564540980416791,0.0456644114647034,95.6711288264788,1.05038398523437,0.0110855555091116,257.149899488894,0.535709392697642,0.0287100205541479,6.42497481942944,37.8203492614225
"15",413,19,0.0366333324281744,43.3745791245793,0.0439788250101801,0.0535967048416391,36.8244153193815,0.0933575674731333,0.0800519084596374,46.6977015399723,0.124860790322599,0.0568309740417677,262.569675332625,0.0277446734878327,0.0890051528301524,65.6068726906956,0.1487748971624,0.0889815783663702,268.53470720071,0.0502284242398775,0.0678695833370009,135.237966965264,0.124379132646963,0.0688663957375704,350.878370522935,0.060389014073248,0.00753124825202367,1324800.99984577,1.81002027243776e-05,0.0414958734413176,332.774648303069,0.0797957318384899,0.0257001561058981,3431.35094366988,0.00830867032726887,0.0744725896563034,190.130498831553,0.177364118074246,0.0899040568553536,113.126607601096,0.399906212887736,0.0834747933286673,109.251002247036,0.575730908993314,0.0463283725341914,186.022680032129,0.461075177697464,0.0204526729073948,545.518541907633,0.190572878783361,0.0434200739895798,39.0002326082575,3.71047052638307,0.0248647088109568,11.9346587466991,22.2120822241773,0.000519824076000889,125.56563892043,4.7743953294412,NA,NA,NA
"16",414,19,0.0375598906510085,17.1803760282021,0.102610478085247,0.0460854668223436,24.5852605332711,0.100584585090808,0.107783163453808,26.2336814934836,0.153193031839597,0.0398344411224836,285.662917924544,0.0205029577324482,0.070710382223082,834.700511617665,0.00831102788456319,0.0855596246511536,65.3116165360448,0.127403379368055,0.035321110551158,427.485861388079,0.0253635244022259,0.102108932893368,274.394431928456,0.048315376820589,0.0426989979295411,414.242041196245,0.0370734901640476,0.0261120614757212,667.665799272521,0.0267766072161199,0.0979948444595148,158.490952702306,0.136033510289118,0.0136169045069308,1750.38237993729,0.0148912324392381,0.0595499812393521,884.974504763917,0.0320723387475544,0.0501254177616546,454.315644719286,0.0743379721109446,0.0781953754590857,94.6521758874048,0.460616034418004,0.0165602340243825,1055.90979866099,0.0530765033822678,0.0304366743697262,230.533411958783,0.287515509795278,0.0484904957354839,25.8791858773463,3.87420314610136,0.0112560006702014,6.4764190688098,35.8107834841304,NA,NA,NA
"17",318,19,0.0548810549015392,15.3493312807836,0.146798898541859,0.0480452229697549,45.7332484808673,0.0815148999973223,0.0662752555323163,122.272987844688,0.0451289457201829,0.0552616306580404,668.214766873654,0.0103574985498672,0.0898887589097378,46.5646194372463,0.188209181022079,0.0263347046831898,541.808912674299,0.0210745072455459,0.0955835912366798,299.866308248042,0.0449059895487915,0.0133381984841681,1041.70829145613,0.0147386703049728,0.0132160529854725,1834.42146934249,0.00882245917724275,0.0757237042652681,178.040796380711,0.108555730389035,0.0384375623912185,911.221759693179,0.0241521594682278,0.100132244926741,281.367706671517,0.0959345644954867,0.0194405430001319,951.376417192873,0.0321990252562266,0.0624763060376344,283.085289545556,0.126458153173704,0.0238408845887402,8961.58353791641,0.00467252286895761,0.0674967021863947,143.560938558121,0.350112291628985,0.0702521359503787,77.7766833552256,0.895856574441042,0.0251494741107169,235.477652800406,0.400448057410263,0.054225972181877,4.03855995862788,46.9451673264961,NA,NA,NA
"18",409,17,0.0112406694786681,12.6632747456059,0.131990231990232,0.0518490580605448,24.1185557642212,0.0982559523809526,0.0861499137711161,28.2901329119367,0.148479346075771,0.0506275260064709,169.186651222783,0.0380761902656264,0.0886624914927741,125.678657810578,0.0603842791108835,0.0591202293960915,180.568908257156,0.0558254761731667,0.0882088814448266,199.45680357843,0.0650960842678764,0.0997800802223985,73.4832377780971,0.228990899998676,0.0234532322573699,11054784.6152389,1.89954127002133e-06,0.102427646288612,107.297961137035,0.233728048106953,0.00587046588464068,5862.99386936866,0.00491429816267275,0.0899122095859148,111.275393809779,0.30810664727851,0.0389237994489937,716.583322735269,0.0602936294858298,0.0228634325902827,1228.02314053548,0.039698589183152,0.0538313860670131,200.035542140971,0.294404675782802,0.0794659283447827,39.7773900559823,2.18085007455088,0.0476130496594993,4.58450155517948,40.7441603887413,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19",412,19,0.0432113525458698,23.4978831817426,0.0777835657261925,0.0715434312883116,21.1330818888277,0.147186785012519,0.0907870566476781,51.6494077171517,0.0996840163111502,0.0713092172476822,467.837691986541,0.0147169470561977,0.0665601816000538,166.9626993381,0.0515084105641102,0.0624209305989376,157.089953432176,0.0712253370169489,0.0795398657319605,512.989537149736,0.0271569264117614,0.013847057906784,1087.41645439292,0.0140987250147593,0.0257319384681474,1096.62265782124,0.0150656027797488,0.0349381987549481,910.686868065007,0.0201934932349349,0.017028691558955,1659.9399029935,0.0121680707734143,0.03502599469856,2206.56851816346,0.00965133624501461,0.0781741561442335,171.630969259159,0.150282818277054,0.0676220737534215,227.500311495445,0.139388038132005,0.0361221228001697,390.798056447891,0.0961300926658079,0.0353416248740119,423.246402244645,0.103718064130561,0.0862275006825857,43.7214160807724,1.39115652660852,0.0723794110033928,16.1371029872096,7.18827793056107,0.0121891936942968,7.04442595191175,39.9979362297838,NA,NA,NA
"20",209,19,0.0178319268054788,13.9158240955532,0.122390230563814,0.0307293277127424,25.6064229977808,0.0893274442134036,0.0288901283452711,80.9989928139699,0.0388114155225411,0.0595242501830557,69.732657631035,0.0662246005838751,0.0831985683500313,188.20362533947,0.0351956900826901,0.0429980975666199,228.292753732162,0.0329533334868919,0.0782446909569339,79.7240048285326,0.120625495338561,0.0422143854991486,364.387481215123,0.0348620967313285,0.0896765296246641,296.773370437686,0.049568724896925,0.0159995616344426,1350.9883177298,0.0128397337323968,0.0153246154982008,1490.40449346396,0.0123277495565184,0.0673871108132407,481.790865289585,0.0428463757025255,0.0367953815774442,416.027171972621,0.0574100245251629,0.0843459840518029,424.660091796003,0.0669321247857993,0.0523888238163345,662.736375174018,0.0513232832544965,0.0662063824119466,171.394415753856,0.243179381496526,0.0349587971905737,370.467167925324,0.140773742578169,0.0828927551275219,40.2422914548777,1.8212484794359,0.0703926828345463,3.85429473265754,44.2276462066184,NA,NA,NA
