CD,type,ratio_over_CD,CD_ratio_over_whole_NYC,ratio_over_whole_NYC
103,6,0.02297324166666666,0.024739707333333333,0.000568351275331272
103,7,0.050744342000000005,0.024739707333333333,0.0012554001699025747
103,8,0.112543761,0.024739707333333333,0.002784299709332614
103,9,0.2991304223333333,0.024739707333333333,0.007400399103023063
103,10,0.060731543666666665,0.024739707333333333,0.0015024806162148869
103,11,0.125396809,0.024739707333333333,0.0031022803551938993
103,12,0.014659210666666667,0.024739707333333333,0.00036266458163101154
103,13,0.04261050633333333,0.024739707333333333,0.0010541714560118132
103,14,0.009140338999999999,0.024739707333333333,0.00022612931178745264
103,15,0.016597375333333334,0.024739707333333333,0.00041061420824815246
104,0,0.029859138666666663,0.011592940666666668,0.0003461552229204391
104,1,0.04140069000000001,0.011592940666666668,0.0004799557427290602
104,2,0.025309577333333333,0.011592940666666668,0.0002934124283237449
104,3,0.02183697633333333,0.011592940666666668,0.0002531547709717375
104,4,0.08083779866666667,0.011592940666666668,0.0009371478035666125
104,5,0.253060976,0.011592940666666668,0.0029337208798167575
104,6,0.08019282133333333,0.011592940666666668,0.0009296706196099343
104,7,0.13516512633333333,0.011592940666666668,0.0015669612897848376
104,8,0.050705255000000005,0.011592940666666668,0.0005878230127032034
104,9,0.09701345633333334,0.011592940666666668,0.001124671243140591
104,10,0.027709733,0.011592940666666668,0.0003212372905581754
104,11,0.03455972733333334,0.011592940666666668,0.00040064886843151163
104,12,0.029183956,0.011592940666666668,0.0003383278703266107
104,13,0.044705605333333336,0.011592940666666668,0.0005182694300967503
104,14,0.025185719666666665,0.011592940666666668,0.00029197655374296646
104,15,0.023273442000000002,0.011592940666666668,0.00026980763221510806
105,0,0.019725995666666666,0.00684168,0.00013495895003272
105,1,0.020213867333333333,0.00684168,0.00013829681185712
105,2,0.012783556333333335,0.00684168,8.746100169464002e-05
105,3,0.017493161000000004,0.00684168,0.00011968260975048003
105,4,0.09970110733333333,0.00684168,0.00068212307202032
105,5,0.28211619166666674,0.00684168,0.0019301487062020005
105,6,0.10405869999999999,0.00684168,0.0007119363266159999
105,7,0.22034067033333335,0.00684168,0.0015075003574061602
105,8,0.024038301666666664,0.00684168,0.00016446236774679998
105,9,0.04512224333333333,0.00684168,0.0003087119497688
105,10,0.015001295000000003,0.00684168,0.00010263405997560003
105,11,0.02585633533333333,0.00684168,0.00017690077232336
105,12,0.017523352333333336,0.00684168,0.00011988916919192001
105,13,0.048531877333333334,0.00684168,0.00033203957451392
105,14,0.017676715,0.00684168,0.0001209384274812
105,15,0.02981663,0.00684168,0.0002039958411384
106,0,0.024589724000000004,0.025309105999999998,0.0006223439312267441
106,1,0.02582404066666667,0.025309105999999998,0.0006535833825809773
106,2,0.013226494333333333,0.025309105999999998,0.0003347507470907326
106,3,0.017635876666666665,0.025309105999999998,0.00044634827195959325
106,4,0.13547006533333333,0.025309105999999998,0.0034286262433482584
106,5,0.35505051299999996,0.025309105999999998,0.008986011068871376
106,6,0.10020865033333333,0.025309105999999998,0.002536191353403268
106,7,0.226397812,0.025309105999999998,0.005729926222076072
106,8,0.012346354999999998,0.025309105999999998,0.0003124752074086299
106,9,0.022669518666666666,0.025309105999999998,0.0005737452509036453
106,10,0.005472471333333333,0.025309105999999998,0.00013850335705729465
106,11,0.010665348666666666,0.025309105999999998,0.0002699304399316253
106,12,0.006561754333333333,0.025309105999999998,0.00016607213596829263
106,13,0.027855227333333333,0.025309105999999998,0.0007049909012334306
106,14,0.005541404,0.025309105999999998,0.000140247981224824
106,15,0.010484743666666666,0.025309105999999998,0.0002653594888424953
107,0,0.030754657666666668,0.035552550333333335,0.0010934065146786026
107,1,0.048450120333333326,0.035552550333333335,0.00172252534180689
107,2,0.019062235333333333,0.035552550333333335,0.0006777110811541785
107,3,0.022625906333333334,0.035552550333333335,0.0008044086737531189
107,4,0.10095971566666666,0.035552550333333335,0.0035893753728781885
107,5,0.2692220163333333,0.035552550333333335,0.009571529286532323
107,6,0.09213494533333334,0.035552550333333335,0.003275632281422249
107,7,0.18232951833333333,0.035552550333333335,0.006482279377798257
107,8,0.03718043133333334,0.035552550333333335,0.0013218591563933775
107,9,0.09090310366666667,0.035552550333333335,0.0032318371685653847
107,10,0.015470469666666667,0.035552550333333335,0.0005500146515044732
107,11,0.023327590666666665,0.035552550333333335,0.0008293553413320636
107,12,0.009442285666666666,0.035552550333333335,0.00033569733642587856
107,13,0.03627334200000001,0.035552550333333335,0.0012896098172132144
