type,CD,ratio_CD_within_type
1,302,0.024158493596953958
1,303,0.02585813731327426
1,304,0.007937732211337657
1,305,0.022674941735686578
1,306,0.010035401791287748
1,307,0.0064379188216064824
1,308,0.021031735185403248
1,309,0.027295244026936224
1,310,0.0058285635138633635
1,311,0.005278432690188159
1,312,0.006958286777468215
1,313,0.005088715322640491
1,314,0.011937746366501483
1,315,0.006588714669876522
1,316,0.01223314382954467
1,317,0.0395583566646791
1,318,0.01866216132081621
1,401,0.012796517633489702
1,402,0.007200109526585718
1,403,0.026880641706086623
1,404,0.014527519752179344
1,405,0.0045621548198218394
1,406,0.015319657286601602
1,407,0.023567407393772884
1,408,0.01977931725144039
1,409,0.0044588831270273195
1,410,0.008337660269696203
1,411,0.011131317328721057
1,412,0.07849714857773872
1,413,0.042128299455447105
1,414,0.00698299044772697
1,501,0.009483513668891443
1,502,0.004433549531365654
1,503,0.00493281975408264
2,101,0.00482719146532936
2,102,0.00792981885711575
2,103,0.018581024884235065
2,104,0.011981296629585933
2,105,0.0035714104232421064
2,106,0.01366931871558009
2,107,0.02767387032258335
2,108,0.012701505659535836
2,109,0.014501284019197473
2,110,0.020473018935250657
2,111,0.019270602119465283
2,112,0.023664578126221445
2,201,0.007075271750808011
2,202,0.004211929226570424
2,203,0.010142191565902006
2,204,0.01639460426603738
2,205,0.010093958834121272
2,206,0.004891267372163128
2,207,0.009238102931432846
2,208,0.01017596879748193
2,209,0.03429393574267104
2,210,0.027880166821046243
2,211,0.013045664411574063
2,212,0.028807222964657608
2,301,0.01244824753966444
2,302,0.017033596588209236
2,303,0.0259208280305689
2,304,0.008666282680685955
2,305,0.0244722385922876
2,306,0.009395086974707001
2,307,0.009758990756328885
2,308,0.012633614711609701
2,309,0.02289097299499813
2,310,0.005564261357616698
2,311,0.007084549483671468
2,312,0.007351477486228325
2,313,0.007043443387973839
2,314,0.017543324755416687
2,315,0.006878488813556798
2,316,0.01239636220719672
2,317,0.04535449016911692
2,318,0.03547660594218622
2,401,0.012428019924405249
2,402,0.010459214740872946
2,403,0.022302429950831305
2,404,0.017649744496878568
2,405,0.010467049582041258
2,406,0.014237155504005998
2,407,0.025770523916852424
2,408,0.024326841987392257
2,409,0.009916882527161724
2,410,0.014298322876382276
2,411,0.014713548717763394
2,412,0.05874939424605544
2,413,0.07188577824800213
2,414,0.012863563273320135
2,501,0.0175412923249355
2,502,0.010237564001051047
2,503,0.009144606368216615
3,101,0.009181040588626574
3,102,0.008044873402612953
3,103,0.028532312999698696
3,104,0.010173148124894664
3,105,0.004809504131768958
3,106,0.017936723327417147
3,107,0.03232555546801899
3,108,0.01996394798822671
3,109,0.022712635775037703
3,110,0.02650580534512611
3,111,0.020087167369946302
3,112,0.029631984462393342
3,201,0.007739189610026285
3,202,0.002799669637104179
3,203,0.0060197455542653645
3,204,0.011993059206978723
3,205,0.005818551391420459
3,206,0.004506727072732456
3,207,0.008401759069952159
3,208,0.012352994368140656
3,209,0.03352948140986971
3,210,0.026162814667320882
3,211,0.012455357509065734
3,212,0.03236455797784378
3,301,0.011974558027713484
3,302,0.018453130783434513
3,303,0.023926642936042034
3,304,0.007269123047755648
3,305,0.020653963758094643
3,306,0.011673396859933738
3,307,0.010808308079323202
3,308,0.01832377472412553
3,309,0.02656568103505662
3,310,0.007862820995967565
3,311,0.006540628501537776
3,312,0.007366235487151458
3,313,0.005020708110032359
3,314,0.01443886005411087
3,315,0.005918379431919122
3,316,0.01079875995696084
3,317,0.040167410914328544
3,318,0.021431744033191924
3,401,0.01484393702096468
