type,attr_name,attr_var,attr_order,value1,prob1,value2,prob2,value3,prob3,value4,prob4,value5,prob5
1,education,el1higstschl,12,1.0,0.08070175438596491,2.0,0.7368421052631579,3.0,0.1824561403508772,,,,
2,want-find-way-to,wb1agrwstmt2,0,1.0,0.019417475728155338,2.0,0.08737864077669903,3.0,0.8932038834951457,,,,
2,feel-cheerful,wb1offelche1,1,1.0,0.004878048780487805,2.0,0.01951219512195122,3.0,0.18536585365853658,4.0,0.424390243902439,5.0,0.36585365853658536
2,feel-bored,wb1offelche2,2,1.0,0.470873786407767,2.0,0.2669902912621359,3.0,0.2087378640776699,4.0,0.02912621359223301,5.0,0.024271844660194174
2,feel-full-of-life,wb1offelche3,3,1.0,0.019417475728155338,2.0,0.0825242718446602,3.0,0.18446601941747573,4.0,0.32038834951456313,5.0,0.3932038834951456
2,feel-upset,wb1offelche4,4,1.0,0.2926829268292683,2.0,0.424390243902439,3.0,0.21951219512195122,4.0,0.04390243902439024,5.0,0.01951219512195122
2,adjust-to-change,wb1agrwstmt3,5,1.0,0.11165048543689321,2.0,0.3446601941747573,3.0,0.5436893203883495,,,,
2,self-determin,wb1agrwstmt1,6,1.0,0.6796116504854369,2.0,0.22815533980582525,3.0,0.09223300970873786,,,,
2,know-each-other,cm1knowwell,7,1.0,0.2097560975609756,2.0,0.4,3.0,0.3902439024390244,,,,
2,willing-help-each-other,cm1willnghlp,8,1.0,0.10824742268041238,2.0,0.4020618556701031,3.0,0.4896907216494845,,,,
2,can-be-trusted,cm1peoptrstd,9,1.0,0.15544041450777202,2.0,0.35751295336787564,3.0,0.48704663212435234,,,,
2,no-one-talk-to,fl1noonetalk,10,1.0,0.8980582524271845,2.0,0.10194174757281553,,,,,,
2,income,ia1totinc,11,1.0,0.17796610169491525,2.0,0.6016949152542372,3.0,0.22033898305084745,,,,
2,education,el1higstschl,12,1.0,0.18932038834951456,2.0,0.5388349514563107,3.0,0.27184466019417475,,,,
3,want-find-way-to,wb1agrwstmt2,0,1.0,0.013100436681222707,2.0,0.07860262008733625,3.0,0.9082969432314411,,,,
3,feel-cheerful,wb1offelche1,1,1.0,0.008695652173913044,2.0,0.030434782608695653,3.0,0.16521739130434782,4.0,0.39565217391304347,5.0,0.4
3,feel-bored,wb1offelche2,2,1.0,0.39565217391304347,2.0,0.2782608695652174,3.0,0.23478260869565218,4.0,0.04782608695652174,5.0,0.043478260869565216
3,feel-full-of-life,wb1offelche3,3,1.0,0.017467248908296942,2.0,0.048034934497816595,3.0,0.16593886462882096,4.0,0.3406113537117904,5.0,0.4279475982532751
3,feel-upset,wb1offelche4,4,1.0,0.32751091703056767,2.0,0.43231441048034935,3.0,0.18340611353711792,4.0,0.039301310043668124,5.0,0.017467248908296942
3,adjust-to-change,wb1agrwstmt3,5,1.0,0.06550218340611354,2.0,0.27074235807860264,3.0,0.6637554585152838,,,,
3,self-determin,wb1agrwstmt1,6,1.0,0.7117903930131004,2.0,0.18340611353711792,3.0,0.10480349344978165,,,,
3,know-each-other,cm1knowwell,7,1.0,0.2675438596491228,2.0,0.42105263157894735,3.0,0.31140350877192985,,,,
3,willing-help-each-other,cm1willnghlp,8,1.0,0.13004484304932734,2.0,0.4349775784753363,3.0,0.4349775784753363,,,,
3,can-be-trusted,cm1peoptrstd,9,1.0,0.21777777777777776,2.0,0.36,3.0,0.4222222222222222,,,,
3,no-one-talk-to,fl1noonetalk,10,1.0,0.8956521739130435,2.0,0.10434782608695652,,,,,,
3,income,ia1totinc,11,1.0,0.12987012987012986,2.0,0.5974025974025974,3.0,0.2727272727272727,,,,
3,education,el1higstschl,12,1.0,0.09565217391304348,2.0,0.6652173913043479,3.0,0.2391304347826087,,,,
4,want-find-way-to,wb1agrwstmt2,0,1.0,0.015723270440251572,2.0,0.12264150943396226,3.0,0.8616352201257862,,,,
4,feel-cheerful,wb1offelche1,1,1.0,0.0062827225130890054,2.0,0.0387434554973822,3.0,0.14973821989528796,4.0,0.5476439790575917,5.0,0.25759162303664923
4,feel-bored,wb1offelche2,2,1.0,0.3739495798319328,2.0,0.3025210084033613,3.0,0.24369747899159663,4.0,0.045168067226890755,5.0,0.03466386554621849
4,feel-full-of-life,wb1offelche3,3,1.0,0.04096638655462185,2.0,0.08403361344537816,3.0,0.29516806722689076,4.0,0.37289915966386555,5.0,0.20693277310924368
4,feel-upset,wb1offelche4,4,1.0,0.17103882476390347,2.0,0.5194123819517313,3.0,0.2518363064008394,4.0,0.040923399790136414,5.0,0.016789087093389297
4,adjust-to-change,wb1agrwstmt3,5,1.0,0.13171759747102213,2.0,0.37513171759747105,3.0,0.4931506849315068,,,,
4,self-determin,wb1agrwstmt1,6,1.0,0.6874340021119324,2.0,0.2006335797254488,3.0,0.1119324181626188,,,,
